Season,G,GS,ShO,SV,IPouts,H,ER,BB,SO,HLD,QS,PTS,AB,PA,1B,2B,3B,HR,R,RBI
2023,34,28,0,0,442,143,68,60,151,2,7,301.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,9,9,0,0,144,29,14,16,34,0,4,138.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,52,0,0,13,147,40,16,22,67,14,0,262,NA,NA,NA,NA,NA,NA,NA,NA
2023,57,0,0,1,201,53,23,15,56,11,0,204,NA,NA,NA,NA,NA,NA,NA,NA
2023,71,0,0,4,196,58,28,19,68,23,0,232.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,62,0,0,18,196,53,22,25,78,10,0,317,NA,NA,NA,NA,NA,NA,NA,NA
2023,62,0,0,24,184,38,14,13,66,6,0,357.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,21,21,0,0,318,104,59,41,99,0,5,135.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,27,0,0,3,110,29,15,10,42,3,0,128.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,27,27,0,0,409,134,67,57,151,0,8,259.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,69,0,0,3,212,57,20,17,77,27,0,329,NA,NA,NA,NA,NA,NA,NA,NA
2023,62,0,0,7,170,70,30,17,58,9,0,139.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,66,1,0,1,208,45,23,21,65,8,0,220,NA,NA,NA,NA,NA,NA,NA,NA
2023,69,0,0,11,225,65,31,36,78,11,0,234.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,70,1,0,1,187,47,21,30,68,8,0,178.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,39,3,0,2,174,45,17,26,69,5,0,190.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,59,0,0,36,177,48,19,24,72,2,0,372,NA,NA,NA,NA,NA,NA,NA,NA
2023,37,10,0,1,353,104,58,42,128,1,3,248,NA,NA,NA,NA,NA,NA,NA,NA
2023,48,4,0,2,145,40,16,13,56,11,0,189.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,27,25,0,0,423,146,85,64,119,0,7,133,NA,NA,NA,NA,NA,NA,NA,NA
2023,28,14,0,0,270,94,41,12,74,0,4,148,NA,NA,NA,NA,NA,NA,NA,NA
2023,16,16,0,0,246,66,30,37,81,0,4,179.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,29,29,0,0,467,187,87,42,94,0,12,90.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,59,0,0,2,179,42,20,19,56,10,0,203.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,64,0,0,1,248,69,36,25,81,7,0,199,NA,NA,NA,NA,NA,NA,NA,NA
2023,66,0,0,1,182,42,15,24,61,22,0,290,NA,NA,NA,NA,NA,NA,NA,NA
2023,22,20,0,0,299,78,47,66,118,0,3,196,NA,NA,NA,NA,NA,NA,NA,NA
2023,71,0,0,23,207,44,25,28,94,7,0,386,NA,NA,NA,NA,NA,NA,NA,NA
2023,30,27,0,0,427,158,80,23,97,0,2,69.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,60,0,0,22,172,44,28,17,55,8,0,250.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,51,0,0,29,134,40,18,17,52,0,0,260.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,65,0,0,12,197,57,24,32,81,13,0,253.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,27,21,0,0,333,124,62,50,128,1,4,158,NA,NA,NA,NA,NA,NA,NA,NA
2023,65,0,0,31,196,54,26,16,74,0,0,343,NA,NA,NA,NA,NA,NA,NA,NA
2023,56,0,0,0,157,53,21,18,56,15,0,163.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,59,0,0,27,187,46,17,25,84,1,0,351.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,75,0,0,3,207,61,20,18,61,23,0,264.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,23,23,0,0,361,99,42,38,79,0,9,261.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,25,9,0,0,199,69,33,25,72,1,1,105,NA,NA,NA,NA,NA,NA,NA,NA
2023,55,0,0,1,174,39,24,24,76,5,0,197.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,19,19,0,0,288,93,48,33,101,0,8,213,NA,NA,NA,NA,NA,NA,NA,NA
2023,63,0,0,13,204,61,33,34,79,7,0,210.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,58,0,0,33,167,51,17,15,68,0,0,355,NA,NA,NA,NA,NA,NA,NA,NA
2023,73,0,0,0,193,49,13,13,59,17,0,251,NA,NA,NA,NA,NA,NA,NA,NA
2023,20,19,1,0,326,83,55,34,114,0,6,257.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,64,0,0,1,174,63,27,19,62,10,0,120,NA,NA,NA,NA,NA,NA,NA,NA
2023,19,18,0,0,299,105,54,20,79,0,8,139.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,73,0,0,3,198,67,30,15,79,19,0,233,NA,NA,NA,NA,NA,NA,NA,NA
2023,60,0,0,1,157,30,18,16,77,15,0,250,NA,NA,NA,NA,NA,NA,NA,NA
2023,74,0,0,3,227,69,28,28,69,22,0,257.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,59,1,0,1,256,56,20,18,74,14,0,299,NA,NA,NA,NA,NA,NA,NA,NA
2023,18,18,0,0,263,75,41,31,93,0,4,187,NA,NA,NA,NA,NA,NA,NA,NA
2023,71,0,0,2,206,63,31,26,75,28,0,253.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,33,33,0,0,553,169,100,73,204,0,15,360,NA,NA,NA,NA,NA,NA,NA,NA
2023,58,0,0,15,170,54,25,13,78,2,0,256.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,69,0,0,3,181,47,31,22,65,24,0,224.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,58,0,0,2,168,55,24,20,58,27,0,207.5,NA,NA,NA,NA,NA,NA,NA,NA
2023,63,0,0,31,187,62,27,31,78,2,0,316.5,NA,NA,NA,NA,NA,NA,NA,NA
