,edge,grade,money,value,is_best,bet_quality,implied_value,projected_value,ou,book_name,display_name,full_name,prop
74,0.028712827120976,C,-172,3.5,True,6.0,4.248331477354788,4.52,over,Best Odds,Mariners,Emerson Hancock,strikeouts
75,-0.088416195647873,F,134,3.5,False,1.0,3.874165738677394,4.52,under,Best Odds,Mariners,Emerson Hancock,strikeouts
77,0.028712827120976,C,-172,3.5,True,6.0,4.248331477354788,4.52,over,FanDuel NJ,Mariners,Emerson Hancock,strikeouts
76,-0.088416195647873,F,134,3.5,False,1.0,3.874165738677394,4.52,under,FanDuel NJ,Mariners,Emerson Hancock,strikeouts
396,0.100650732949097,B,122,5.5,True,9.0,5.030958424017656,5.98,over,Best Odds,Reds,Frankie Montas,strikeouts
397,-0.160476183399547,F,-156,5.5,False,0.0,4.796437636026484,5.98,under,Best Odds,Reds,Frankie Montas,strikeouts
403,0.063296305350767,C+,105,5.5,True,8.0,5.265479212008828,5.98,over,BetMGM NJ,Reds,Frankie Montas,strikeouts
402,-0.12556926850593,F,-135,5.5,False,1.0,5.030958424017656,5.98,under,BetMGM NJ,Reds,Frankie Montas,strikeouts
408,,,108,5.5,,,,,over,Caesars NJ,Reds,Frankie Montas,strikeouts
409,,,-148,5.5,,,,,under,Caesars NJ,Reds,Frankie Montas,strikeouts
399,0.096555728854093,B-,120,5.5,True,9.0,5.030958424017656,5.98,over,DK NJ,Reds,Frankie Montas,strikeouts
398,-0.158944320654449,F,-155,5.5,False,0.0,4.796437636026484,5.98,under,DK NJ,Reds,Frankie Montas,strikeouts
401,0.104672611970976,B,124,5.5,True,9.0,5.030958424017656,5.98,over,FanDuel NJ,Reds,Frankie Montas,strikeouts
400,-0.163504284174741,F,-158,5.5,False,0.0,4.796437636026484,5.98,under,FanDuel NJ,Reds,Frankie Montas,strikeouts
405,0.063296305350767,C+,105,5.5,True,8.0,5.265479212008828,5.98,over,PointsBet NJ,Reds,Frankie Montas,strikeouts
404,-0.13443451673288,F,-140,5.5,False,0.0,4.796437636026484,5.98,under,PointsBet NJ,Reds,Frankie Montas,strikeouts
407,0.051101183399547,C+,100,5.5,True,7.0,5.5,5.98,over,bet365 NJ,Reds,Frankie Montas,strikeouts
406,-0.116318574703895,F,-130,5.5,False,1.0,5.030958424017656,5.98,under,bet365 NJ,Reds,Frankie Montas,strikeouts
61,0.031080753418362,C,-120,5.5,True,5.0,5.969041575982344,6.14,over,Best Odds,Mariners,George Kirby,strikeouts
60,-0.091098405669023,F,-106,5.5,False,1.0,5.265479212008828,6.14,under,Best Odds,Mariners,George Kirby,strikeouts
67,0.052725775063383,C+,-110,5.5,True,7.0,5.734520787991172,6.14,over,BetMGM NJ,Mariners,George Kirby,strikeouts
66,-0.121989844327452,F,-120,5.5,False,0.0,5.030958424017656,6.14,under,BetMGM NJ,Mariners,George Kirby,strikeouts
73,0.041651577942675,C,-115,5.5,True,7.0,5.734520787991172,6.14,over,Caesars NJ,Mariners,George Kirby,strikeouts
72,-0.119914294306697,F,-119,5.5,False,0.0,5.030958424017656,6.14,under,Caesars NJ,Mariners,George Kirby,strikeouts
62,0.031080753418362,C,-120,5.5,True,5.0,5.969041575982344,6.14,over,DK NJ,Mariners,George Kirby,strikeouts
63,-0.088730420824127,F,-105,5.5,False,1.0,5.265479212008828,6.14,under,DK NJ,Mariners,George Kirby,strikeouts
65,0.031080753418362,C,-120,5.5,True,5.0,5.969041575982344,6.14,over,FanDuel NJ,Mariners,George Kirby,strikeouts
64,-0.091098405669023,F,-106,5.5,False,1.0,5.265479212008828,6.14,under,FanDuel NJ,Mariners,George Kirby,strikeouts
69,0.031080753418362,C,-120,5.5,True,5.0,5.969041575982344,6.14,over,PointsBet NJ,Mariners,George Kirby,strikeouts
68,-0.100344822682431,F,-110,5.5,False,1.0,5.265479212008828,6.14,under,PointsBet NJ,Mariners,George Kirby,strikeouts
71,0.064823464522244,C+,-115,5.5,True,7.0,5.734520787991172,6.29,over,bet365 NJ,Mariners,George Kirby,strikeouts
70,-0.134590906382708,F,-115,5.5,False,1.0,5.265479212008828,6.29,under,bet365 NJ,Mariners,George Kirby,strikeouts
36,-0.015690734914109,D+,-108,4.5,True,5.0,4.712132034355964,4.69,over,Best Odds,Astros,Hunter Brown,strikeouts
37,-0.042710541229102,D,-117,4.5,False,3.0,4.287867965644036,4.69,under,Best Odds,Astros,Hunter Brown,strikeouts
42,-0.027349558126184,D,-110,4.5,True,3.0,4.287867965644036,4.69,under,BetMGM NJ,Astros,Hunter Brown,strikeouts
43,-0.041914511137885,D,-120,4.5,False,4.0,4.924264068711928,4.69,over,BetMGM NJ,Astros,Hunter Brown,strikeouts
49,-0.034056466241543,D,-113,4.5,True,3.0,4.287867965644036,4.69,under,Caesars NJ,Astros,Hunter Brown,strikeouts
48,-0.043971277900535,D,-121,4.5,False,4.0,4.924264068711928,4.69,over,Caesars NJ,Astros,Hunter Brown,strikeouts
39,-0.00865508763456,D+,-105,4.5,True,5.0,4.712132034355964,4.69,over,DK NJ,Astros,Hunter Brown,strikeouts
38,-0.048994579771205,D,-120,4.5,False,1.0,4.075735931288072,4.69,under,DK NJ,Astros,Hunter Brown,strikeouts
41,-0.02252631639424,D+,-111,4.5,True,5.0,4.712132034355964,4.69,over,FanDuel NJ,Astros,Hunter Brown,strikeouts
40,-0.038423755246892,D,-115,4.5,False,3.0,4.287867965644036,4.69,under,FanDuel NJ,Astros,Hunter Brown,strikeouts
45,-0.020269489492864,D+,-110,4.5,True,5.0,4.712132034355964,4.69,over,PointsBet NJ,Astros,Hunter Brown,strikeouts
44,-0.048994579771205,D,-120,4.5,False,1.0,4.075735931288072,4.69,under,PointsBet NJ,Astros,Hunter Brown,strikeouts
47,-0.031343686613572,D,-115,4.5,True,5.0,4.712132034355964,4.69,over,bet365 NJ,Astros,Hunter Brown,strikeouts
46,-0.038423755246892,D,-115,4.5,False,3.0,4.287867965644036,4.69,under,bet365 NJ,Astros,Hunter Brown,strikeouts
213,-0.005530798369952,D+,106,4.5,True,5.0,4.712132034355964,4.78,under,Best Odds,Padres,Joe Musgrove,strikeouts
212,-0.052555667483505,F,-134,4.5,False,5.0,4.924264068711928,4.78,over,Best Odds,Padres,Joe Musgrove,strikeouts
219,0.003713301708316,C-,-145,4.5,True,5.0,5.136396103067892,5.21,over,BetMGM NJ,Padres,Joe Musgrove,strikeouts
218,-0.07174051259267,F,110,4.5,False,3.0,4.712132034355964,5.21,under,BetMGM NJ,Padres,Joe Musgrove,strikeouts
225,0.003713301708316,C-,-145,4.5,True,5.0,5.136396103067892,5.21,over,Caesars NJ,Padres,Joe Musgrove,strikeouts
224,-0.080986929606078,F,106,4.5,False,3.0,4.712132034355964,5.21,under,Caesars NJ,Padres,Joe Musgrove,strikeouts
214,-0.020093905166068,D+,100,4.5,True,4.0,4.5,4.78,under,DK NJ,Padres,Joe Musgrove,strikeouts
215,-0.04512348613828,D,-130,4.5,False,5.0,4.924264068711928,4.78,over,DK NJ,Padres,Joe Musgrove,strikeouts
216,-0.005530798369952,D+,106,4.5,True,5.0,4.712132034355964,4.78,under,FanDuel NJ,Padres,Joe Musgrove,strikeouts
217,-0.052555667483505,F,-134,4.5,False,5.0,4.924264068711928,4.78,over,FanDuel NJ,Padres,Joe Musgrove,strikeouts
220,-0.020093905166068,D+,-100,4.5,True,4.0,4.5,4.78,under,PointsBet NJ,Padres,Joe Musgrove,strikeouts
221,-0.04512348613828,D,-130,4.5,False,5.0,4.924264068711928,4.78,over,PointsBet NJ,Padres,Joe Musgrove,strikeouts
222,0.003715618643456,C-,110,4.5,True,5.0,4.712132034355964,4.78,under,bet365 NJ,Padres,Joe Musgrove,strikeouts
